Country Name,Country Code,Capitol City,Population,GDP,Happiness Rank
Honduras,HND,Tegucigalpa,9587522,23803230473,91
Hong Kong of China,HKG,Hong Kong,7451000,3.63E+11,71
Hungary,HUN,Budapest,9768785,1.56E+11,75
Iceland,ISL,Reykjavik,353574,25878475760,3
India,IND,New Delhi,1352617328,2.73E+12,122
Indonesia,IDN,Jakarta,267663435,1.04E+12,81
Iran,IRN,Tehran,81800269,1.54E+12,108
Iraq,IRQ,Baghdad,38433600,2.26E+11,117
Ireland,IRL,Dublin,4853506,3.76E+11,15
Israel,ISR,Jerusalem,8883800,3.70E+11,11
Italy,ITA,Rome,60431283,2.07E+12,48
Ivory Coast,CIV,Yamoussoukro,23740424,1.06E+11,128
Jamaica,JAM,Kingston,2934855,15717858487,76
Japan,JPN,Tokyo,126529100,4.97E+12,51
Jordan,JOR,Amman,9956011,42290832158,74
Kazakhstan,KAZ,Astana,18276499,1.71E+11,60
Kenya,KEN,Nairobi,51393010,87908262520,112
Kosovo,XKX,Pristina,1845300,7900268736,78
Kuwait,KWT,Kuwait City,4137309,1.42E+11,39
Kyrgyz Republic,KGZ,Bishkek,6315800,8092836609,98
Latvia,LVA,Riga,1926542,34849078086,54
Lebanon,LBN,Beirut,6848925,56639155556,88
Lesotho,LSO,Maseru,2108132,2791762880,139
Liberia,LBR,Monrovia,4818977,3249000000,148
Libya,LBY,Tripolis,6678567,48319620013,68
Lithuania,LTU,Vilnius,2789533,53251369047,52
Luxembourg,LUX,Luxembourg,607728,69487922619,18
Macedonia,MKD,Skopje,2103721,33822000000,92
Madagascar,MDG,Antananarivo,26262368,12100459087,144
Malawi,MWI,Lilongwe,18143315,7064971176,136
Malaysia,MYS,Kuala Lumpur,31528585,3.54E+11,42
Mali,MLI,Bamako,19077690,17196688920,127
Malta,MLT,Valletta,483530,14542039605,27
Mauritania,MRT,Nouakchott,4403319,5365868725,123
Mauritius,MUS,Port Louis,1265303,14220348673,64
Mexico,MEX,Mexico City,126190788,1.22E+12,25
Moldova,MDA,Chisinau,3545883,11309082555,56
Mongolia,MNG,Ulan Bator,3170208,13009574621,100
Montenegro,MNE,Podgorica,622345,5452173041,83
Morocco,MAR,Rabat,36029138,1.18E+11,84
Mozambique,MOZ,Maputo,29495962,14457964381,113
Myanmar,MMR,Nay Pyi Taw,53708395,71214803378,114
Namibia,NAM,Windhoek,2606971,27505000000,111
Nepal,NPL,Kathmandu,28087871,28812491892,99
Netherlands,NLD,Amsterdam,17231017,9.13E+11,6
New Zealand,NZL,Wellington,4885500,2.05E+11,8
Nicaragua,NIC,Managua,6465513,13117859222,43
Niger,NER,Niamey,22442948,9239513530,135
Nigeria,NGA,Abuja,195874740,3.97E+11,95
North Cyprus,CYP,Nicosia,326000,3685000000,61
Norway,NOR,Oslo,5314336,4.35E+11,1
Pakistan,PAK,Islamabad,212215030,3.13E+11,80
Palestinian Territories,PSE,East Jerusalem,4550000,14500000000,103
Panama,PAN,Panama City,4176873,65055100000,30
Paraguay,PRY,Asuncion,6956071,40842341774,70
Peru,PER,Lima,31989256,2.22E+11,63
Philippines,PHL,Manila,106651922,3.31E+11,72
Poland,POL,Warsaw,37978548,5.86E+11,46
Portugal,PRT,Lisbon,10281762,2.38E+11,89
Qatar,QAT,Doha,2781677,1.92E+11,35
Romania,ROU,Bucharest,19473936,2.40E+11,57
Russian Federation,RUS,Moscow,144478050,1.66E+12,49
Rwanda,RWA,Kigali,12301939,9509003197,151
Saudi Arabia,SAU,Riyadh,33699947,7.82E+11,37
Senegal,SEN,Dakar,15854360,24129599552,115
Serbia,SRB,Belgrade,6982084,50508366850,73
Sierra Leone,SLE,Freetown,7650154,3999945202,106
Singapore,SGP,Singapur,5638676,3.64E+11,26
Slovak Republic,SVK,Bratislava,5447011,1.06E+11,40
Slovenia,SVN,Ljubljana,2067372,54235484383,62
Somalia,SOM,Mogadishu,15008154,7484000000,93
South Africa,ZAF,Pretoria,57779622,3.66E+11,101
South Korea,KOR,Seoul,51709098,2.24E+12,55
South Sudan,SSD,Juba,10975920,18435000000,147
Spain,ESP,Madrid,46723749,1.43E+12,34
Sri Lanka,LKA,Colombo,21670000,88900770858,120
Sudan,SDN,Khartoum,41801533,40851536134,130
Sweden,SWE,Stockholm,10183175,5.51E+11,9
Switzerland,CHE,Berne,8516543,7.06E+11,4
Syrian Arab Republic,SYR,Damascus,16906283,50280000000,152
Taiwan Province of China,TWN,Taipei,23577271,1.31E+12,33
Tajikistan,TJK,Dushanbe,9100837,7522947810,96
Tanzania,TZA,Dodoma,56318348,57437073927,153
Thailand,THA,Bangkok,69428524,5.05E+11,32
Togo,TGO,Lome,7889094,5300214337,150
Trinidad and Tobago,TTO,Port of Spain,1389858,23410353435,38
Tunisia,TUN,Tunis,11565204,39860715814,102
Turkey,TUR,Ankara,82319724,7.67E+11,69
Turkmenistan,TKM,Ashgabat,5850908,40761142857,59
Uganda,UGA,Kampala,42723139,27476945526,133
Ukraine,UKR,Kiev,44622516,1.31E+11,132
United Arab Emirates,ARE,Abu Dhabi,9630959,4.14E+11,21
United Kingdom,GBR,London,66488991,2.83E+12,19
United States,USA,Washington,327167434,2.05E+13,14
Uruguay,URY,Montevideo,3449299,59596885024,28
Uzbekistan,UZB,Tashkent,32955400,50499920318,47
Venezuela,VEN,Caracas,28870195,76458000000,82
Vietnam,VNM,Hanoi,95540395,2.45E+11,94
Yemen,YEM,Sanaa,28498687,26914402224,146
Zambia,ZMB,Lusaka,17351822,26720073436,116
Zimbabwe,ZWE,Harare,14439018,31000519447,138
